LR,DT,RF,Kmeans
"[25.67211354  3.70090723 15.65300286 ...  7.65876639  4.74261796
  8.72945893]","[16.28440945  5.53175472 16.28440945 ...  5.53175472  5.53175472
  5.53175472]","[19.99213792  4.50207052 18.26935015 ...  5.40843628  4.71861088
  5.40843628]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.63378125  3.73184592 15.66550505 ...  7.61078948  4.73912483
  8.7065993 ]","[16.31265625  5.51783178 16.31265625 ...  5.51783178  5.51783178
  5.51783178]","[20.15101564  4.59893463 18.80446919 ...  5.33036567  4.74699532
  5.33036567]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.58190064  3.73059711 15.64343193 ...  7.61329611  4.7253022
  8.69717792]","[16.3296124   5.52732839 16.3296124  ...  5.52732839  5.52732839
  5.52732839]","[20.40933322  4.59153658 18.46003851 ...  5.47616767  4.78941398
  5.47616767]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.58079633  3.8920241  15.46813679 ...  7.66918376  4.72565523
  8.80045596]","[16.3296124   5.52166359 16.3296124  ...  5.52166359  5.52166359
  5.52166359]","[21.22077298  4.62043402 18.6119614  ...  5.38172695  4.80056396
  5.38172695]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.56395507  3.91231363 15.51488154 ...  7.71288152  4.75162745
  8.79350753]","[16.32553846  5.51513812 16.32553846 ...  5.51513812  5.51513812
  5.51513812]","[20.22939372  4.74485932 18.10256042 ...  5.41851267  4.92655283
  5.41851267]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.53619725  3.92437011 15.59477645 ...  7.70472986  4.73676544
  8.77874023]","[16.24480916  5.52503663 16.24480916 ...  5.52503663  5.52503663
  5.52503663]","[19.0257199   4.91561276 17.58475341 ...  5.51929549  5.06714877
  5.51929549]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.47802945  4.01415891 15.64199249 ...  7.71466608  4.74314295
  8.7901648 ]","[16.23537879  5.53120438 16.23537879 ...  5.53120438  5.53120438
  5.53120438]","[20.94866217  4.74272705 17.9472762  ...  5.41086808  4.86789135
  5.41086808]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.50749844  4.02722597 15.64855587 ...  7.67720091  4.74022615
  8.78175849]","[16.42777778  5.51637681 16.42777778 ...  5.51637681  5.51637681
  5.51637681]","[20.28314361  4.53739448 18.33689026 ...  5.34257295  4.80765772
  5.34257295]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.56566799  3.9785074  15.63759089 ...  7.64644563  4.73106706
  8.75333035]","[17.8588024   5.51135379 17.8588024  ...  5.51135379  5.51135379
  5.51135379]","[19.73374123  4.71872712 18.51456205 ...  5.36567482  4.90750867
  5.36567482]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.59959435  3.94483089 15.60623705 ...  7.67070103  4.7351923
  8.77922416]","[17.90485207  5.52583929 17.90485207 ...  5.52583929  5.52583929
  5.52583929]","[19.71484244  4.81975604 17.90216651 ...  5.26171539  4.96025068
  5.26171539]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.86130341  3.91184704 15.6482915  ...  7.67779763  4.71833202
  8.80972653]","[17.86423529  5.5328952  17.86423529 ...  5.5328952   5.5328952
  5.5328952 ]","[19.20745341  4.73306811 18.39096985 ...  5.37355012  4.93609604
  5.37355012]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.84668067  3.94183481 15.50869063 ...  7.70768812  4.7370978
  8.92839167]","[17.99953216  5.53145133 17.99953216 ...  5.53145133  5.53145133
  5.53145133]","[20.13904833  4.74462985 18.37925973 ...  5.14794925  4.83716378
  5.18292462]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.98124275  3.930188   15.44043165 ...  7.8508302   4.67765625
  8.94101351]","[18.04604651  5.52802817 18.04604651 ...  5.52802817  5.52802817
  5.52802817]","[21.38514655  4.61086891 18.13909743 ...  5.1871928   4.7684895
  5.1871928 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.96838728  3.95449221 15.40763852 ...  7.82444072  4.69022501
  8.94878072]","[18.0458046   5.52750877 18.0458046  ...  5.52750877  5.52750877
  5.52750877]","[18.91708289  4.63867511 17.79951937 ...  5.20212957  4.82640674
  5.20212957]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.98366246  3.99963027 15.48766959 ...  7.7775251   4.70805785
  8.88142091]","[18.0458046   5.53789931 18.0458046  ...  5.53789931  5.53789931
  5.53789931]","[20.5319585   4.52733255 18.00898579 ...  5.10596233  4.67789033
  5.10596233]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.95070246  3.96747354 15.43782642 ...  7.7292524   4.66339463
  8.8511841 ]","[18.06554286  5.54425862 18.06554286 ...  5.54425862  5.54425862
  5.54425862]","[20.81053357  4.61392806 18.22437373 ...  5.45720667  5.00203789
  5.45720667]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.8966701   4.04727206 15.53036356 ...  7.78295532  4.63675544
  8.85045332]","[18.06554286  5.55286449 18.06554286 ...  5.55286449  5.55286449
  5.55286449]","[21.30760314  4.62351629 17.57344586 ...  5.28663461  4.77500705
  5.28663461]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.9181875   3.98291802 15.50980151 ...  7.84519565  4.63143098
  8.86660945]","[17.99983051  5.55491438 17.99983051 ...  5.55491438  5.55491438
  5.55491438]","[20.49521932  4.68478135 18.15653562 ...  5.30049054  4.82747098
  5.30049054]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.95969194  3.99717909 15.50605363 ...  7.84612411  4.60497278
  8.84159356]","[17.99983051  5.5501528  17.99983051 ...  5.5501528   5.5501528
  5.5501528 ]","[20.16917606  4.74971882 17.48940262 ...  5.23514221  4.90653219
  5.23514221]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.089908    3.97697198 15.50871432 ...  7.84681714  4.60244286
  8.84229076]","[17.94646067  5.55305743 17.94646067 ...  5.55305743  5.55305743
  5.55305743]","[20.17753848  4.90255413 17.8806118  ...  5.29865411  5.02809395
  5.29865411]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.09827095  3.95714241 15.50917071 ...  7.84288722  4.57693857
  8.82309633]","[17.94646067  5.54876667 17.94646067 ...  5.54876667  5.54876667
  5.54876667]","[21.17758759  4.55853949 17.76752407 ...  5.16323493  4.68165511
  5.16323493]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.12809278  3.9513336  15.51406358 ...  7.85239245  4.58416058
  8.82610512]","[17.93558659  5.55076539 17.93558659 ...  5.55076539  5.55076539
  5.55076539]","[19.80753021  4.97244276 17.73676629 ...  5.31152118  5.02926332
  5.31152118]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.11519149  4.03095607 15.55557855 ...  7.84624597  4.55942694
  8.79103632]","[17.93558659  5.54444628 17.93558659 ...  5.54444628  5.54444628
  5.54444628]","[19.52003787  4.54291618 18.07113473 ...  5.26244466  4.81676502
  5.26244466]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.0677892   4.03530264 15.56663561 ...  7.83767629  4.57842499
  8.79739624]","[17.97773481  5.55922824 17.97773481 ...  5.55922824  5.55922824
  5.55922824]","[19.94759361  4.67693339 17.44094283 ...  5.29028953  4.80464471
  5.29028953]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.09347463  4.01077211 15.56269705 ...  7.82038033  4.62256336
  8.78985453]","[17.97773481  5.57001629 17.97773481 ...  5.57001629  5.57001629
  5.57001629]","[20.06816252  4.79391487 17.77076729 ...  5.29148577  4.91439993
  5.29148577]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.0011065   4.02966505 15.62162197 ...  7.80352306  4.62147045
  8.76872247]","[17.95885246  5.57152846 17.95885246 ...  5.57152846  5.57152846
  5.57152846]","[18.73289975  4.76570763 17.65470292 ...  5.33250961  4.93960065
  5.33250961]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.98876017  4.04331124 15.61726439 ...  7.81655657  4.61972982
  8.78426337]","[17.95885246  5.57384491 17.95885246 ...  5.57384491  5.57384491
  5.57384491]","[20.80840875  4.69338393 17.36803318 ...  5.40378962  4.96443738
  5.40378962]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.97297594  3.95142445 15.61454824 ...  7.80687991  4.59345642
  8.74554536]","[17.92375     5.58818035 17.92375    ...  5.58818035  5.58818035
  5.58818035]","[19.87194959  4.80492414 17.09866597 ...  5.27146017  4.91981218
  5.27146017]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.98557568  3.96527424 15.61001962 ...  7.79165024  4.58300275
  8.72600934]","[17.93902703  3.85970361 17.93902703 ...  3.85970361  3.85970361
  3.85970361]","[20.4349701   4.8995144  17.31812857 ...  5.33506192  5.04787345
  5.33506192]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.02340436  3.99901235 15.63659608 ...  7.77410924  4.58112359
  8.71458602]","[18.02524064  3.86379974 18.02524064 ...  3.86379974  3.86379974
  3.86379974]","[19.73103391  5.03751941 17.84282759 ...  5.4186715   5.2213917
  5.4186715 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.98301112  3.87290789 15.73490674 ...  7.65884887  4.60176431
  8.72000615]","[18.03031915  3.87433121 18.03031915 ...  3.87433121  3.87433121
  3.87433121]","[21.40233951  5.08759496 17.98572722 ...  5.45518223  5.30760456
  5.45518223]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.98276696  3.87496382 15.7250529  ...  7.66434244  4.5709892
  8.67427117]","[18.03031915  3.87277567 18.03031915 ...  3.87277567  3.87277567
  3.87277567]","[19.93795282  4.87549501 17.59987725 ...  5.44217089  5.2045296
  5.44217089]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.01179367  3.9322367  15.63788638 ...  7.64632988  4.53847262
  8.66567689]","[18.03031915  3.86595208 18.03031915 ...  3.86595208  3.86595208
  3.86595208]","[20.74442954  5.10597413 17.81895961 ...  5.4682798   5.22925658
  5.4682798 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.02692568  3.91101778 15.61758256 ...  7.62449014  4.54930001
  8.67447996]","[18.03031915  3.86503759 18.03031915 ...  3.86503759  3.86503759
  3.86503759]","[19.51929089  4.83446824 17.77900491 ...  5.35696336  5.05082415
  5.35696336]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.97589528  3.9672147  15.52161901 ...  7.5416464   4.59725291
  8.68500864]","[18.00610526  5.59185358 18.00610526 ...  5.59185358  5.59185358
  5.59185358]","[20.98217364  4.90199334 17.54737326 ...  5.22674177  5.02251769
  5.22674177]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.96587837  3.97036946 15.52435446 ...  7.54431188  4.58964562
  8.68224287]","[17.97727749  5.58956656 17.97727749 ...  5.58956656  5.58956656
  5.58956656]","[21.0570716   4.90593937 17.61902057 ...  5.4613599   5.17733799
  5.4613599 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.92485487  4.02394378 15.47150111 ...  7.51718175  4.56226265
  8.69790208]","[17.97727749  5.59138462 17.97727749 ...  5.59138462  5.59138462
  5.59138462]","[20.02243283  4.77666331 17.9521882  ...  5.32021975  5.01427789
  5.32021975]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.78354868  4.20469916 15.56635273 ...  7.4530172   4.6121566
  8.7005274 ]","[17.90238342  5.59114855 17.90238342 ...  5.59114855  5.59114855
  5.59114855]","[20.07413292  4.66930983 17.35678018 ...  5.35156508  4.87205013
  5.35156508]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.80101418  4.20875329 15.63069499 ...  7.44211674  4.61413443
  8.701792  ]","[17.88175258  5.58729072 17.88175258 ...  5.58729072  5.58729072
  5.58729072]","[19.64011624  4.89053382 17.00801053 ...  5.34499211  4.97946361
  5.34499211]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.79968156  4.21892346 15.64717864 ...  7.43416131  4.60734177
  8.69246157]","[17.94142857  5.59627451 17.94142857 ...  5.59627451  5.59627451
  5.59627451]","[18.9100662   4.82755166 17.04856074 ...  5.26119339  4.97937431
  5.26119339]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.84866107  4.25071245 15.63093191 ...  7.41614997  4.60152364
  8.69289649]","[17.94142857  5.60057057 17.94142857 ...  5.60057057  5.60057057
  5.60057057]","[19.31718957  4.52944977 17.57893421 ...  5.3898541   4.854603
  5.3898541 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.89432111  4.27665317 15.65643978 ...  7.40351796  4.6003781
  8.68450645]","[17.99248731  5.61187126 17.99248731 ...  5.61187126  5.61187126
  5.61187126]","[18.68296108  4.69487081 17.01478684 ...  5.2921855   4.98493172
  5.2921855 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.70237111  4.36659982 15.62178052 ...  7.41327123  4.54346576
  8.65974882]","[14.43991379  5.6120597  14.43991379 ...  5.6120597   5.6120597
  5.6120597 ]","[18.22511103  4.69629649 17.20981949 ...  5.30976681  4.88077429
  5.30976681]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.67164052  4.4103204  15.591636   ...  7.39840907  4.49031496
  8.6414763 ]","[14.43991379  3.39376884 14.43991379 ...  5.73688852  3.39376884
  5.73688852]","[18.26056859  4.6964674  17.83553838 ...  5.42721539  4.97519363
  5.42721539]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.73336458  4.37438327 15.60419154 ...  7.38036883  4.51596892
  8.63992965]","[18.07505     5.60667162 18.07505    ...  5.60667162  5.60667162
  5.60667162]","[17.70393719  4.65176123 17.33783483 ...  5.45119649  4.87489902
  5.45119649]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.8854937   4.31249511 15.50667554 ...  7.37486434  4.43412679
  8.66174096]","[18.07505     5.59957037 18.07505    ...  5.59957037  5.59957037
  5.59957037]","[18.50619034  4.59860793 17.71914411 ...  5.35976115  4.80733166
  5.35976115]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.80131483  4.20891953 15.67654991 ...  7.37788582  4.47443962
  8.63232803]","[18.03487562  3.38361842 18.03487562 ...  5.72953871  3.38361842
  5.72953871]","[18.49575412  4.74442964 17.649275   ...  5.37765084  4.92458097
  5.37765084]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.70713636  4.20712212 15.69102019 ...  7.42405239  4.46758321
  8.6365689 ]","[17.99138614  5.59909489 17.99138614 ...  5.59909489  5.59909489
  5.59909489]","[17.30581692  4.65071921 17.46074747 ...  5.62133633  4.94375435
  5.62133633]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.67153472  4.22430524 15.7127279  ...  7.42544386  4.46068418
  8.63818344]","[17.99138614  5.60629522 17.99138614 ...  5.60629522  5.60629522
  5.60629522]","[18.03267178  4.84730317 17.54152306 ...  5.59396674  5.09075188
  5.59396674]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.66188782  4.21271992 15.68693262 ...  7.3802104   4.46697921
  8.64270031]","[17.99138614  3.39829822 17.99138614 ...  5.73693053  3.39829822
  5.73693053]","[17.65586974  4.59438769 17.254169   ...  5.34530789  4.83806931
  5.34530789]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.55119839  4.26017132 15.68020311 ...  7.36427376  4.41820422
  8.64347926]","[17.87834146  3.40257649 17.87834146 ...  5.73693053  3.40257649
  5.73693053]","[17.12135118  4.62944311 16.74988525 ...  5.43447603  4.81536383
  5.43447603]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
